iso,year,tree_loss_ha,gfw_gross_emissions_co2e_all_gases__Mg
LVA,2002,29175.98819,7449008.126
MAC,2002,0.928207381,0
MAF,2002,5.418846674,1836.420997
MAR,2002,3923.517827,1183790.921
MDA,2002,229.7964207,61938.47269
MDG,2002,89317.51419,42817518.77
MDV,2002,4.588154946,129.6427223
MEX,2002,158834.1254,50117897.16
MKD,2002,890.1837635,283028.2317
MLI,2002,175.2904428,68228.23334
MLT,2002,1.752961399,410.6095305
MMR,2002,66119.68071,34206789.43
MNE,2002,179.6207712,73856.91495
MNG,2002,18728.01995,4777588.535
MOZ,2002,106658.3376,33413388.19
MSR,2002,1.62272987,841.6908095
MTQ,2002,48.86224871,23441.49145
MUS,2002,154.4299605,75988.24351
MWI,2002,4189.572628,1687302.986
MYS,2002,312553.7873,143448755.1
MYT,2002,20.86919036,10886.69008
NAM,2002,108.0072182,24013.20076
NCL,2002,626.8680588,238011.9801
NER,2002,0.676416444,124.759059
NGA,2002,32346.71006,11450401.24
NIC,2002,54194.49469,26761643.24
NLD,2002,824.5813586,285691.8496
NOR,2002,26635.75319,5575007.054
NPL,2002,2128.64331,1174171.807
NZL,2002,63227.9271,27553607.62
PAK,2002,325.0117524,134082.3652
PAN,2002,19200.13718,9392222.573
PER,2002,80452.08582,48985079.59
PHL,2002,32309.18926,18660620.66
PLW,2002,75.30077104,57297.70251
PNG,2002,54575.5022,38639772.26
POL,2002,31070.13979,9257350.314
PRI,2002,1168.095778,491290.1302
PRK,2002,5358.227207,1433747.857
PRT,2002,34903.34915,8748289.481
PRY,2002,195124.6398,50071719.53
PSE,2002,1.830287115,294.6577777
REU,2002,502.6683752,219245.7474
ROU,2002,16356.44545,6632293.367
RUS,2002,2700384.154,355725024.2
RWA,2002,941.338718,322143.3243
SDN,2002,76.10035582,19405.15144
SEN,2002,164.4305544,93226.97789
SGP,2002,123.516999,44130.16811
SLB,2002,3866.106668,2925127.602
SLE,2002,15310.24197,5369738.914
SLV,2002,4666.509817,1753851.089
SMR,2002,0.111479129,20.58133285
SOM,2002,250.8913304,53654.36158
SPM,2002,0.105856563,3.082851642
SRB,2002,1134.989088,445795.6931
SSD,2002,8148.679824,1971706.215
SUR,2002,3717.477562,2680839.313
SVK,2002,4015.732505,1739831.686
SVN,2002,723.8725078,307563.3697
SWE,2002,178264.0808,34399523.8
SWZ,2002,3800.765838,2241635.725
SXM,2002,0.439427723,113.5388571
SYC,2002,0.227775334,63.89734246
SYR,2002,147.9991941,39602.41613
TCA,2002,4.652026517,836.0561123
TCD,2002,1958.47583,586090.9331
TGO,2002,2020.785483,538397.0197
THA,2002,60882.18974,31509648.89
TJK,2002,36.63912049,10288.39296
TKM,2002,105.1787401,29363.52031
TLS,2002,1604.598898,920512.8956
TTO,2002,726.0770093,330567.2485
TUN,2002,243.8717387,69390.64808
TUR,2002,25722.22142,5989272.83
TWN,2002,1004.574022,493356.4401
TZA,2002,85080.90089,28156945.53
UGA,2002,10840.69681,3663913.022
UKR,2002,27077.01971,8131471.903
UMI,2002,6.505533058,0
URY,2002,6870.11867,1864496.474
USA,2002,2038435.691,669926976.1
UZB,2002,265.2317188,58617.25983
VCT,2002,7.945998949,4007.987665
VEN,2002,90372.37708,33906204.27
VGB,2002,2.996441556,1179.98633
VIR,2002,20.90283313,8350.041538
VNM,2002,49625.43782,24917333.28
VUT,2002,108.2396496,58642.49367
XAD,2002,0.507202227,143.618419
XCA,2002,23.39391396,2020.31909
XKO,2002,214.9078823,87919.20689
XNC,2002,3.340847417,645.7100124
ZAF,2002,47679.93414,23841465.21
ZMB,2002,46240.24361,16555136.66
ZWE,2002,8016.170851,2830202.061
ABW,2003,0.9770576,66.37229485
AFG,2003,244.3362552,48187.9897
AGO,2003,52461.54547,16476884.43
AIA,2003,1.097745085,181.2565535
ALA,2003,220.7748552,46025.98923
ALB,2003,613.533965,178669.0524
AND,2003,0.342063642,127.5043084
ARG,2003,249155.0069,48579740.57
ARM,2003,395.8166949,130764.1294
ATG,2003,17.07802261,5360.146951
AUS,2003,373846.6091,60699174.05
AUT,2003,14475.69483,5809045.197
AZE,2003,1039.341551,331128.7591
BDI,2003,1325.183318,493523.7412
BEL,2003,1889.777513,904496.2676
BEN,2003,3475.926415,1011393.006
BES,2003,16.15018967,0
BFA,2003,2.038243484,777.4000917
BGD,2003,2159.457158,1035254.019
BGR,2003,5198.715558,1699445.118
BHS,2003,274.2308763,60170.13094
BIH,2003,307.8114117,117046.3168
BLR,2003,32119.38156,9216113.82
BLZ,2003,6843.896175,3009843.087
BMU,2003,0.130570243,26.45829277
BOL,2003,163759.0988,77668443.41
BRA,2003,3248526.734,1477287782
BRB,2003,2.997849387,862.6015226
BRN,2003,799.1767213,524265.3682
BTN,2003,543.6007673,276056.2625
BWA,2003,8.572551344,1603.271566
CAF,2003,13726.63788,6823714.3
