iso,adm1,umd_tree_cover_loss__year,tree_loss_state,co2_state
BRA,6,2022,8249.506584,3226826.026
BRA,7,2022,95.76168008,387650.058
BRA,8,2022,7236.132666,7527547.138
BRA,9,2022,44479.88956,28595490.93
BRA,10,2022,358541.6471,181772093
BRA,11,2022,76356.68684,77960048.95
BRA,12,2022,546200.1129,332665556.4
BRA,13,2022,97257.22193,109818359
BRA,14,2022,807271.5272,554034358.1
BRA,15,2022,3115.177441,1342651.634
BRA,16,2022,57008.30019,36170287.69
BRA,17,2022,5141.415541,2176613.575
BRA,18,2022,98383.22297,41759202.29
BRA,19,2022,2564.221594,2053543.633
BRA,20,2022,1729.642974,645336.5411
BRA,21,2022,47176.09532,35044614.79
BRA,22,2022,219626.6935,153847630.2
BRA,23,2022,33348.95827,22381453.91
BRA,24,2022,50859.76475,48034924.96
BRA,25,2022,21437.43947,41831259.49
BRA,26,2022,2808.666164,1465704.374
BRA,27,2022,105202.2069,54538471.3
